"DateTime";"Fiyat (open)";"Fiyat (high)";"Fiyat (low)";"Fiyat (close)";"Ağ. Ort. Fiyat";"Hacim"
"2021-07-30 00:00:00";2,175;2,55;2,05;2,4;2,3309;7197909,78
"2021-08-02 00:00:00";2,3;2,65;2,175;2,35;2,3438;6832401,76
"2021-08-03 00:00:00";2,2;2,55;2,2;2,36;2,3374;7211984,2
"2021-08-04 00:00:00";2,225;2,72;2,2;2,35;2,3458;7514425,24
"2021-08-05 00:00:00";2,32;2,68;2,3;2,41;2,3861;11150080,59
"2021-08-06 00:00:00";2,29;2,65;2,28;2,46;2,4094;8612309,8
"2021-08-09 00:00:00";2,31;2,58;2,3;2,5;2,426;11463134,6
"2021-08-10 00:00:00";2,35;2,78;2,244;2,45;2,4372;9503044,94
"2021-08-11 00:00:00";2,36;2,62;2,3;2,44;2,4485;8031796,95
"2021-08-12 00:00:00";2,41;2,6;2,35;2,41;2,4398;6197861,22
"2021-08-13 00:00:00";2,44;2,76;2,37;2,45;2,4711;12951969,52
"2021-08-16 00:00:00";2,453;2,85;2,39;2,49;2,4988;11979732
"2021-08-17 00:00:00";2,175;2,76;2,175;2,53;2,5134;12410339,25
"2021-08-18 00:00:00";2,52;2,75;2,44;2,52;2,5312;6442836,6
"2021-08-19 00:00:00";2,05;2,82;2,05;2,528;2,5352;7050587,5
"2021-08-20 00:00:00";2,53;2,85;2,4;2,5;2,5532;5121396,82
"2021-08-23 00:00:00";2,475;2,8;2,45;2,58;2,5362;5317068,25
"2021-08-24 00:00:00";2,48;2,805;2,45;2,59;2,5404;7986241,5
"2021-08-25 00:00:00";2,53;2,92;2,4;2,525;2,567;8151787,42
"2021-08-26 00:00:00";2,49;2,85;2,3;2,535;2,5489;8897685,11
"2021-08-27 00:00:00";2,57;2,85;2,47;2,54;2,5455;6727065,12
"2021-08-31 00:00:00";2,49;2,95;2,45;2,56;2,5478;8631797,36
"2021-09-01 00:00:00";2,58;2,85;2,48;2,58;2,5737;4965194,35
"2021-09-02 00:00:00";2,549;2,85;2,45;2,56;2,5896;5207382,06
"2021-09-03 00:00:00";2,53;2,85;2,5;2,6;2,5755;5207694,1
"2021-09-06 00:00:00";2,55;2,79;2,4;2,53;2,5597;7012407,18
"2021-09-07 00:00:00";2,562;2,8;2,35;2,61;2,5654;10061548,3
"2021-09-08 00:00:00";2,49;2,8;2,47;2,575;2,5879;10357725,16
"2021-09-09 00:00:00";2,575;2,8;2,495;2,52;2,5862;7443419,1
"2021-09-10 00:00:00";2,53;2,85;2,053;2,6;2,6101;9182076,25
"2021-09-13 00:00:00";2,59;2,8;2,499;2,58;2,5885;7011436,1
"2021-09-14 00:00:00";2,5;2,8;2,49;2,587;2,5787;6502311,74
"2021-09-15 00:00:00";2,6;2,83;2,48;2,595;2,6242;5774935,14
"2021-09-16 00:00:00";2,56;2,85;2,35;2,585;2,5886;5852186,75
"2021-09-17 00:00:00";2,575;2,85;2,3;2,6;2,5877;4751845,57
"2021-09-20 00:00:00";2,575;2,9;2,4;2,58;2,6386;6412779,33
"2021-09-21 00:00:00";2,55;2,9;2,5;2,56;2,5947;4997464,93
"2021-09-22 00:00:00";2,59;2,91;2,3;2,63;2,6201;6412414,85
"2021-09-23 00:00:00";2,49;2,901;2,25;2,605;2,6018;8251083,9
"2021-09-24 00:00:00";2,575;2,93;2,475;2,61;2,6115;5645582,99
"2021-09-27 00:00:00";2,6;2,94;2,475;2,665;2,6067;7762437,81
"2021-09-28 00:00:00";2,6;2,95;2,43;2,59;2,5935;12379780,67
"2021-09-29 00:00:00";2,7;2,89;2,4;2,625;2,5456;19282995,11
"2021-09-30 00:00:00";2,6;2,92;2,52;2,655;2,6401;8833020,71
"2021-10-01 00:00:00";2,5;2,97;2,5;2,65;2,6485;8651030,11
"2021-10-04 00:00:00";2,65;2,9;2,55;2,695;2,6736;6358107,51
"2021-10-05 00:00:00";2,6;2,89;2,5;2,66;2,6935;10281001,39
"2021-10-06 00:00:00";2,68;2,9;2,55;2,69;2,7016;11506663,95
"2021-10-07 00:00:00";2,7;2,885;2,6;2,73;2,7081;9990665,08
"2021-10-08 00:00:00";2,73;3;2,6;2,72;2,727;9716096,94
"2021-10-11 00:00:00";2,72;2,92;2,62;2,8;2,7222;8734122,82
"2021-10-12 00:00:00";2,7;3;2,55;2,75;2,73;13500205,41
"2021-10-13 00:00:00";2,65;3,2;2,56;2,745;2,7446;14172788,51
"2021-10-14 00:00:00";2,7;2,96;2,64;2,75;2,7808;12234353,54
"2021-10-15 00:00:00";2,87;3,1;2,69;2,77;2,83;11960907,25
"2021-10-18 00:00:00";2,77;3,15;2,421;2,92;2,8632;13404422,35
"2021-10-19 00:00:00";2,9;3,1;2,4;2,96;2,8624;15718209,89
"2021-10-20 00:00:00";2,95;3,07;2,52;3;2,907;11775103,89
"2021-10-21 00:00:00";2,95;3,1174;2,35;3;2,9602;11359864,59
"2021-10-22 00:00:00";2,9;3,2;2,525;2,9999;2,9692;11909798,01
"2021-10-25 00:00:00";3;3,3;2,55;3,17;3,0959;10043084,18
"2021-10-26 00:00:00";3,1;3,325;2,53;3,15;3,0904;13399770,97
"2021-10-27 00:00:00";3,13;3,33;2,525;3,33;3,0158;19730645,91
"2021-10-28 00:00:00";3,18;3,33;2,54;3,3;3,1586;3810852,79
"2021-11-01 00:00:00";3,15;3,46;2,95;3,2;3,1632;18363526,49
"2021-11-02 00:00:00";3,15;3,385;3,02;3,25;3,1632;28680424,21
"2021-11-03 00:00:00";2,835;3,525;2,835;3,22;3,1546;29694707,05
"2021-11-04 00:00:00";3,3;3,45;3,08;3,24;3,2544;14341265,62
"2021-11-05 00:00:00";3,25;3,525;2,95;3,3;3,2458;18047857,08
"2021-11-08 00:00:00";3,3;3,52;2,64;3,3215;3,3275;15622493,83
"2021-11-09 00:00:00";3,3;3,6;3;3,37;3,3489;20154247,59
"2021-11-10 00:00:00";3,35;3,65;3,135;3,45;3,3838;18298401,31
"2021-11-11 00:00:00";3,5;3,75;2,99;3,4502;3,4843;9718883,59
"2021-11-12 00:00:00";3,65;4;3,29;3,56;3,5826;13511840,46
"2021-11-15 00:00:00";3,55;4;3,1199;3,825;3,7066;14087781,59
"2021-11-16 00:00:00";3,7;4,1;3,3;3,7999;3,818;10472535,43
"2021-11-17 00:00:00";4;4,5;3,44;3,99;3,9637;19079763,41
"2021-11-18 00:00:00";4;4,4;3,3119;4,1;4,1039;22528799,25
"2021-11-19 00:00:00";4,1;4,4;3,63;4,2;4,1967;19845503,44
"2021-11-22 00:00:00";4,1;4,5;3,36;4,15;4,2098;11967675,8
"2021-11-23 00:00:00";2,65;4,55;2,625;4,2;3,6503;29309102,85
"2021-11-24 00:00:00";4,1;4,65;2,63;4,45;4,1021;22014874,04
"2021-11-25 00:00:00";2,65;4,88;2,64;4,27;4,033;19302965,32
"2021-11-26 00:00:00";2,64;4,95;2,64;4,4001;4,2406;23956504,7
"2021-11-29 00:00:00";4,5;5;2,625;2,65;3,9743;26547171,04
"2021-11-30 00:00:00";4,6;5,055;2,64;4,63;4,1144;26768664,14
"2021-12-01 00:00:00";4,7;5,1;2,64;4,57;4,4478;24006869,65
"2021-12-02 00:00:00";2,675;5;2,64;4,5;4,2791;16467600,3
"2021-12-03 00:00:00";4,42;4,9;2,63;4,33;4,281;23858061,89
"2021-12-06 00:00:00";4,4;5;2,63;4,44;4,2794;17765475,71
"2021-12-07 00:00:00";4,5;5,1;2,63;4,25;4,295;10319438,59
"2021-12-08 00:00:00";2,64;4,85;2,64;4,35;4,2582;11690660,89
"2021-12-09 00:00:00";4,4;4,86;2,63;4,2;4,0176;12362564,19
"2021-12-10 00:00:00";2,65;5;2,64;4,2;3,651;15981473,81
"2021-12-13 00:00:00";4,4;4,95;2,64;4,3;4,0148;8606659,9
"2021-12-14 00:00:00";2,64;5,15;2,64;4,51;3,6789;23385329,93
"2021-12-15 00:00:00";2,675;4,88;2,63;4,375;3,6247;33191137,17
"2021-12-16 00:00:00";4,4;4,8;2,65;4,35;4,3734;21744240,9
"2021-12-17 00:00:00";4,45;5;2,64;4,6;4,0419;42837336,8
